name,price,type,Number_door,kilometrage,first_hand,Secteur,marque,Etat,year_model,origin
Audi A7 première main quattro,245000.0,"Voitures d occasion, à vendre",5.0,140 000 - 149 999,Oui,Centre Ville,Audi,Excellent,2015,WW au Maroc
Bmw 535i bi-turbo essence,164429.89045383412,"Voitures d occasion, à vendre",5.0,130 000 - 139 999,Non,Centre Ville,BMW,Excellent,2010,WW au Maroc
Volkswagen touareg Diesel 2010,164429.89045383412,"Voitures d occasion, à vendre",5.0,190 000 - 199 999,Non,Narjis,Volkswagen,Très bon,2010,WW au Maroc
Range rover sport autobiographie importé neuve,440000.0,"Voitures d occasion, à vendre",5.0,75 000 - 79 999,Oui,Centre Ville,Land Rover,Excellent,2014,Importée neuve
Audi rsq3,164429.89045383412,"Voitures d occasion, à vendre",5.0,35 000 - 39 999,Oui,Californie,Audi,Excellent,2020,Importée neuve
Mercedes Classe a Nouveau modèle,164429.89045383412,"Voitures d occasion, à vendre",5.0,85 000 - 89 999,Oui,Centre Ville,Mercedes-Benz,Excellent,2019,WW au Maroc
Mercedes c63 AMG performance carbone édition,164429.89045383412,"Voitures d occasion, à vendre",5.0,170 000 - 179 999,Non,Centre Ville,Mercedes-Benz,Excellent,2011,Dédouanée
Hyundai santafee 7places automatique,105000.0,"Voitures d occasion, à vendre",5.0,170 000 - 179 999,Oui,Centre Ville,Hyundai,Excellent,2010,WW au Maroc
Maserati ghibli,164429.89045383412,"Voitures d occasion, à vendre",5.0,110 000 - 119 999,Non,Californie,Maserati,Excellent,2015,Importée neuve
Range Rover sport,370000.0,"Voitures d occasion, à vendre",5.0,140 000 - 149 999,Oui,Californie,Land Rover,Excellent,2014,Importée neuve
Ford fiesta titanium,90000.0,"Voitures d occasion, à vendre",5.0,100 000 - 109 999,Non,2 Mars,Ford,Excellent,2012,WW au Maroc
Bmw Série 5 530d pack luxury,164429.89045383412,"Voitures d occasion, à vendre",5.0,140 000 - 149 999,Oui,Californie,BMW,Excellent,2018,WW au Maroc
Range rover sport hse,340000.0,"Voitures d occasion, à vendre",5.0,150 000 - 159 999,Oui,Centre Ville,Land Rover,Excellent,2013,WW au Maroc
honda crv a vendre,78000.0,"Voitures d occasion, à vendre",5.0,170 000 - 179 999,Non,Nan,Honda,Très bon,2008,WW au Maroc
hyundai ix 35,118000.0,"Voitures d occasion, à vendre",5.0,180 000 - 189 999,Non,Nan,Hyundai,Très bon,2011,WW au Maroc
Mercedes CLS 350 4Matic AMG Line,860000.0,"Voitures d occasion, à vendre",5.0,70 000 - 74 999,Oui,Centre Ville,Mercedes-Benz,Excellent,2020,Importée neuve
golf6 2L dédouaner,130000.0,"Voitures d occasion, à vendre",5.0,200 000 - 249 999,Non,Nan,Volkswagen,Très bon,2010,Dédouanée
Renault,55000.0,"Voitures d occasion, à vendre",5.0,200 000 - 249 999,Nan,Nan,Renault,Excellent,2007,WW au Maroc
dacia dokker stepway,164429.89045383412,"Voitures d occasion, à vendre",5.0,200 000 - 249 999,Non,Nan,Dacia,Excellent,2015,WW au Maroc
Dacia dokker Diesel 2020 1main,164429.89045383412,"Voitures d occasion, à vendre",5.0,30 000 - 34 999,Oui,Hay Riad,Dacia,Excellent,2020,WW au Maroc
AUDI A3 2021,290000.0,"Voitures d occasion, à vendre",5.0,65 000 - 69 999,Oui,Nan,Audi,Très bon,2021,WW au Maroc
DACIA DUSTER TROPHIE,185000.0,"Voitures d occasion, à vendre",5.0,25 000 - 29 999,Oui,Nan,Dacia,Excellent,2020,WW au Maroc
Ford focus Diesel 2002,55000.0,"Voitures d occasion, à vendre",5.0,130 000 - 139 999,Nan,Toute la ville,Ford,Bon,2002,WW au Maroc
Classe A fuuulle,220000.0,"Voitures d occasion, à vendre",5.0,100 000 - 109 999,Non,Nan,Mercedes-Benz,Excellent,2014,Importée neuve
skoda automatique,132000.0,"Voitures d occasion, à vendre",5.0,140 000 - 149 999,Non,Nan,Skoda,Très bon,2014,WW au Maroc
Renault,134000.0,"Voitures d occasion, à vendre",5.0,0 - 4 999,Nan,Nan,Renault,Très bon,2018,Nan
Nissan Qashqai Ticna,185000.0,"Voitures d occasion, à vendre",5.0,120 000 - 129 999,Non,Nan,Nissan,Excellent,2015,WW au Maroc
Honda civic,29000.0,"Voitures d occasion, à vendre",5.0,170 000 - 179 999,Non,Aïn Sebaâ,Honda,Bon,1998,WW au Maroc
Tiguan R Laen,275000.0,"Voitures d occasion, à vendre",5.0,170 000 - 179 999,Oui,Makhoukha,Volkswagen,Excellent,2015,Dédouanée
Tiguan R Lain,224000.0,"Voitures d occasion, à vendre",5.0,200 000 - 249 999,Non,Wilaya,Volkswagen,Excellent,2013,Dédouanée
Honda civic,29000.0,"Voitures d occasion, à vendre",5.0,170 000 - 179 999,Non,Aïn Sebaâ,Honda,Bon,1998,WW au Maroc
Tiguan R Laen,275000.0,"Voitures d occasion, à vendre",5.0,170 000 - 179 999,Oui,Makhoukha,Volkswagen,Excellent,2015,Dédouanée
Tiguan R Lain,224000.0,"Voitures d occasion, à vendre",5.0,200 000 - 249 999,Non,Wilaya,Volkswagen,Excellent,2013,Dédouanée
Golf 8 Gti,465000.0,"Voitures d occasion, à vendre",5.0,30 000 - 34 999,Non,Nan,Volkswagen,Excellent,2021,Importée neuve
GOLF 7.5 GTD,164429.89045383412,"Voitures d occasion, à vendre",5.0,75 000 - 79 999,Oui,Saniat Rmal,Volkswagen,Excellent,2018,Importée neuve
Volkswagen GOLF 8R 320hp,164429.89045383412,"Voitures d occasion, à vendre",5.0,0 - 4 999,Oui,Saniat Rmal,Volkswagen,Excellent,2022,Importée neuve
Seat leon Essence 2017,164429.89045383412,"Voitures d occasion, à vendre",5.0,95 000 - 99 999,Non,Saniat Rmal,Seat,Excellent,2017,Importée neuve
sandero,67000.0,"Voitures d occasion, à vendre",5.0,35 000 - 39 999,Oui,Nan,Dacia,Très bon,2012,WW au Maroc
Porsche macan S,164429.89045383412,"Voitures d occasion, à vendre",5.0,100 000 - 109 999,Oui,Saniat Rmal,Porsche,Excellent,2014,Importée neuve
Hyundai,66000.0,"Voitures d occasion, à vendre",5.0,140 000 - 149 999,Non,Massira,Hyundai,Excellent,2014,WW au Maroc
Porsche Macan,164429.89045383412,"Voitures d occasion, à vendre",5.0,60 000 - 64 999,Oui,Agdal,Porsche,Excellent,2019,WW au Maroc
Mercedes GLE 400d,164429.89045383412,"Voitures d occasion, à vendre",5.0,0 - 4 999,Oui,Agdal,Mercedes-Benz,Excellent,2022,WW au Maroc
AUDI RSQ3 black,164429.89045383412,"Voitures d occasion, à vendre",5.0,30 000 - 34 999,Oui,Saniat Rmal,Audi,Excellent,2022,Importée neuve
Audi Q3 Diesel 2022,164429.89045383412,"Voitures d occasion, à vendre",5.0,0 - 4 999,Oui,Agdal,Audi,Excellent,2022,Importée neuve
kangoo dci,79000.0,"Voitures d occasion, à vendre",5.0,160 000 - 169 999,Nan,Nan,Renault,Excellent,2012,Nan
BMW 420D Cabriolet,164429.89045383412,"Voitures d occasion, à vendre",3.0,0 - 4 999,Oui,Agdal,BMW,Excellent,2022,Importée neuve
lancer automatiqua,28000.0,"Voitures d occasion, à vendre",5.0,200 000 - 249 999,Non,Hay el Fath,Mitsubishi,Correct,2000,WW au Maroc
Volkswagen T-roc Diesel,164429.89045383412,"Voitures d occasion, à vendre",5.0,15 000 - 19 999,Oui,Mhannech,Volkswagen,Excellent,2021,Importée neuve
Opel kadett Diesel 1985,25000.0,"Voitures d occasion, à vendre",5.0,45 000 - 49 999,Non,Toute la ville,Opel,Excellent,1985,Dédouanée
Audi A3 5 Portes bon état,54000.0,"Voitures d occasion, à vendre",5.0,250 000 - 299 999,Nan,Nan,Audi,Très bon,2003,WW au Maroc
Fiat,164429.89045383412,"Voitures d occasion, à vendre",5.0,120 000 - 129 999,Nan,Nan,Fiat,Excellent,2018,Nan
accord type s,52000.0,"Voitures d occasion, à vendre",5.0,190 000 - 199 999,Nan,Nan,Honda,Excellent,2007,Nan
Clio Classic Essence,40000.0,"Voitures d occasion, à vendre",5.0,180 000 - 189 999,Nan,Nan,Renault,Excellent,2007,Nan
Ford Focus,164429.89045383412,"Voitures d occasion, à vendre",5.0,160 000 - 169 999,Nan,Toute la ville,Ford,Excellent,2013,Nan
Seat lion automatique diwana,79000.0,"Voitures d occasion, à vendre",5.0,190 000 - 199 999,Non,2 Mars,Seat,Très bon,2005,WW au Maroc
Volskwagen touareg,164429.89045383412,"Voitures d occasion, à vendre",5.0,110 000 - 119 999,Oui,Bourgogne,Volkswagen,Très bon,2017,WW au Maroc
lexus ls 400,164429.89045383412,"Voitures d occasion, à vendre",5.0,160 000 - 169 999,Non,Nan,Lexus,Très bon,1999,Dédouanée
Mercedes classe s 350 L,164429.89045383412,"Voitures d occasion, à vendre",5.0,130 000 - 139 999,Oui,Bourgogne,Mercedes-Benz,Très bon,2014,Importée neuve
Range rover sport,164429.89045383412,"Voitures d occasion, à vendre",5.0,85 000 - 89 999,Oui,Bourgogne,Land Rover,Excellent,2018,WW au Maroc
Volkswagen Caddy150ch Reprise possible,164429.89045383412,"Voitures d occasion, à vendre",5.0,90 000 - 94 999,Oui,2 Mars,Volkswagen,Excellent,2017,Dédouanée
Audi Rs3 530cv Eventuri & Apr,164429.89045383412,"Voitures d occasion, à vendre",5.0,75 000 - 79 999,Oui,Hay Riad,Audi,Excellent,2018,Importée neuve
Volkswagen T Roc Reprise possible,164429.89045383412,"Voitures d occasion, à vendre",5.0,75 000 - 79 999,Oui,2 Mars,Volkswagen,Excellent,2018,Dédouanée
Tiguan,164429.89045383412,"Voitures d occasion, à vendre",5.0,200 000 - 249 999,Nan,Nan,Volkswagen,Excellent,2013,Dédouanée
Mercedes s 350 L designo,164429.89045383412,"Voitures d occasion, à vendre",5.0,100 000 - 109 999,Oui,Bourgogne,Mercedes-Benz,Très bon,2015,Importée neuve
Renault clio Diesel 2016,91000.0,"Voitures d occasion, à vendre",5.0,110 000 - 119 999,Non,Toute la ville,Renault,Très bon,2016,WW au Maroc
Grand cherokee overland,164429.89045383412,"Voitures d occasion, à vendre",5.0,110 000 - 119 999,Oui,Bourgogne,Jeep,Excellent,2018,WW au Maroc
Range rover vogue,329000.0,"Voitures d occasion, à vendre",5.0,130 000 - 139 999,Oui,Bourgogne,Land Rover,Très bon,2014,WW au Maroc
voiture excellente jamais accédants tout option,164429.89045383412,"Voitures d occasion, à vendre",5.0,70 000 - 74 999,Non,Nan,Opel,Excellent,2011,WW au Maroc
Volkswagen polo,62000.0,"Voitures d occasion, à vendre",5.0,40 000 - 44 999,Non,Ahlane,Volkswagen,Bon,2004,WW au Maroc
fait doblo,75000.0,"Voitures d occasion, à vendre",5.0,5 000 - 9 999,Non,Nan,Fiat,Très bon,2013,WW au Maroc
Peugeot 208 Diesel 2016,105000.0,"Voitures d occasion, à vendre",5.0,110 000 - 119 999,Nan,Sidi Bernoussi,Peugeot,Très bon,2016,WW au Maroc
Volvo XC60 D3,125000.0,"Voitures d occasion, à vendre",5.0,250 000 - 299 999,Non,Aïn Sebaâ,Volvo,Très bon,2011,WW au Maroc
DFSK c31 Essence 2020,164429.89045383412,"Voitures d occasion, à vendre",3.0,0 - 4 999,Oui,Massira 3,DFSK,Excellent,2020,WW au Maroc
kia picanto,50000.0,"Voitures d occasion, à vendre",5.0,140 000 - 149 999,Nan,Centre Ville,Kia,Excellent,2008,Nan
Kia Ceed BVA 2021,195000.0,"Voitures d occasion, à vendre",5.0,40 000 - 44 999,Oui,Aïn Sebaâ,Kia,Excellent,2021,WW au Maroc
New ceed automatique 1er main,230000.0,"Voitures d occasion, à vendre",5.0,10 000 - 14 999,Oui,Autre secteur,Kia,Excellent,2021,WW au Maroc
Ford Mondeo,55000.0,"Voitures d occasion, à vendre",5.0,200 000 - 249 999,Non,Nan,Ford,Très bon,2005,WW au Maroc
citroen C5,59000.0,"Voitures d occasion, à vendre",5.0,190 000 - 199 999,Non,Nan,Citroen,Très bon,2007,WW au Maroc
kangoo DCI,77000.0,"Voitures d occasion, à vendre",5.0,10 000 - 14 999,Non,Tilila,Renault,Excellent,2010,WW au Maroc
Fiat uno Diesel 1999,164429.89045383412,"Voitures d occasion, à vendre",5.0,30 000 - 34 999,Non,Toute la ville,Fiat,Très bon,1999,Dédouanée
Bmw 520i Essence Automatique,58000.0,"Voitures d occasion, à vendre",5.0,100 000 - 109 999,Non,Hay Izdihar,BMW,Excellent,2005,WW au Maroc
