name,price,type,Number_door,kilometrage,first_hand,Secteur,marque,Etat,year_model,origin
AUDI RS3 SPORTBACK,164429.89045383412,"Voitures d occasion, à vendre",5.0,0 - 4 999,Oui,Centre ville,Audi,Excellent,2022,Importée neuve
Mercedez ML 320,164429.89045383412,"Voitures d occasion, à vendre",5.0,190 000 - 199 999,Non,Branes 2,Mercedes-Benz,Excellent,2005,Dédouanée
Sandero,135000.0,"Voitures d occasion, à vendre",5.0,10 000 - 14 999,Oui,Hay Cheikh Lamfadel,Dacia,Très bon,2021,WW au Maroc
FORMENTOR CUPRA DIESEL,164429.89045383412,"Voitures d occasion, à vendre",5.0,0 - 4 999,Oui,Centre ville,Cupra,Excellent,2021,Importée neuve
Hyundai h-1,164429.89045383412,"Voitures d occasion, à vendre",5.0,150 000 - 159 999,Oui,Route de Sefrou,Hyundai,Très bon,2016,WW au Maroc
Volkswagen amarok,164429.89045383412,"Voitures d occasion, à vendre",5.0,90 000 - 94 999,Oui,Hay Riad,Volkswagen,Excellent,2012,WW au Maroc
Opel astra Diesel,137000.0,"Voitures d occasion, à vendre",5.0,75 000 - 79 999,Oui,Maarif,Opel,Très bon,2014,WW au Maroc
New accent Diesel très bonne état,145000.0,"Voitures d occasion, à vendre",5.0,100 000 - 109 999,Non,Autre secteur,Hyundai,Excellent,2020,WW au Maroc
fiat Doblo maxi 1.6,164429.89045383412,"Voitures d occasion, à vendre",5.0,70 000 - 74 999,Oui,Route de Sefrou,Fiat,Excellent,2019,WW au Maroc
Jeep Wrangler SAHARA UNLIMITED SPECIAL EDITION,164429.89045383412,"Voitures d occasion, à vendre",5.0,140 000 - 149 999,Oui,Autre secteur,Jeep,Excellent,2017,WW au Maroc
Renault clio Diesel 2017,113000.0,"Voitures d occasion, à vendre",5.0,90 000 - 94 999,Non,Safir,Renault,Excellent,2017,WW au Maroc
Porsche Cayenne,164429.89045383412,"Voitures d occasion, à vendre",5.0,30 000 - 34 999,Oui,Maarif,Porsche,Excellent,2016,Importée neuve
Mazda reprise ok,72000.0,"Voitures d occasion, à vendre",5.0,200 000 - 249 999,Oui,Hay el Fath,Mazda,Excellent,2009,WW au Maroc
Dacia Sandero,54000.0,"Voitures d occasion, à vendre",5.0,95 000 - 99 999,Non,Aïn Borja,Dacia,Excellent,2015,WW au Maroc
sang Young stavic,79000.0,"Voitures d occasion, à vendre",5.0,130 000 - 139 999,Non,Aïn Borja,Ssangyong,Excellent,2016,WW au Maroc
Range Rover vogue Black Edition,395000.0,"Voitures d occasion, à vendre",5.0,130 000 - 139 999,Non,Nan,Land Rover,Excellent,2014,WW au Maroc
Dacia Duster,164429.89045383412,"Voitures d occasion, à vendre",5.0,55 000 - 59 999,Non,Nan,Dacia,Excellent,2017,WW au Maroc
Volkswagen tiguan,400000.0,"Voitures d occasion, à vendre",5.0,30 000 - 34 999,Oui,Sidi Maarouf,Volkswagen,Excellent,2020,WW au Maroc
Peugeot,132000.0,"Voitures d occasion, à vendre",5.0,130 000 - 139 999,Non,Nan,Peugeot,Très bon,2015,WW au Maroc
Seat ateca Diesel 2019,270000.0,"Voitures d occasion, à vendre",5.0,75 000 - 79 999,Oui,Sidi Maarouf,Seat,Excellent,2019,WW au Maroc
Mercedes Glk220 automatique,150000.0,"Voitures d occasion, à vendre",5.0,250 000 - 299 999,Non,Autre secteur,Mercedes-Benz,Excellent,2012,WW au Maroc
Série 740 limousine,140000.0,"Voitures d occasion, à vendre",5.0,130 000 - 139 999,Non,Aïn Diab,BMW,Excellent,2010,Nan
Audi Q8 s Line importée,164429.89045383412,"Voitures d occasion, à vendre",5.0,15 000 - 19 999,Oui,Aïn Chock,Audi,Excellent,2021,Importée neuve
Ford Focus Diesel 2012 exellent etat,105000.0,"Voitures d occasion, à vendre",5.0,140 000 - 149 999,Non,Oulfa,Ford,Excellent,2012,WW au Maroc
kia sportage 2man,62000.0,"Voitures d occasion, à vendre",5.0,150 000 - 159 999,Non,M Hamid,Kia,Excellent,2008,WW au Maroc
Volkswagen caddy,100000.0,"Voitures d occasion, à vendre",5.0,190 000 - 199 999,Oui,Agdal,Volkswagen,Excellent,2009,Dédouanée
Audi Q5 3 x S-Line 2019,164429.89045383412,"Voitures d occasion, à vendre",5.0,80 000 - 84 999,Oui,Aïn Chock,Audi,Excellent,2019,Pas encore dédouanée
Audi a5 toute propre,164429.89045383412,"Voitures d occasion, à vendre",5.0,150 000 - 159 999,Nan,Nan,Audi,Excellent,2010,WW au Maroc
Touareg 3amra,128000.0,"Voitures d occasion, à vendre",5.0,200 000 - 249 999,Non,Autre secteur,Volkswagen,Très bon,2011,WW au Maroc
C 8 mazout,164429.89045383412,"Voitures d occasion, à vendre",5.0,190 000 - 199 999,Non,Autre secteur,Citroen,Très bon,2005,WW au Maroc
Range rover sport,75000.0,"Voitures d occasion, à vendre",5.0,200 000 - 249 999,Non,Autre secteur,Land Rover,Très bon,2006,WW au Maroc
Honda Accord Diesel Automatique,122000.0,"Voitures d occasion, à vendre",5.0,190 000 - 199 999,Non,Nan,Honda,Très bon,2012,WW au Maroc
Skoda octavia,164429.89045383412,"Voitures d occasion, à vendre",5.0,200 000 - 249 999,Oui,Autre secteur,Skoda,Excellent,2016,WW au Maroc
VOLVO XC60 / D5,112000.0,"Voitures d occasion, à vendre",5.0,170 000 - 179 999,Non,Nan,Volvo,Très bon,2011,Importée neuve
Volkswagen TOUAREG pack chrome,164429.89045383412,"Voitures d occasion, à vendre",3.0,140 000 - 149 999,Non,Centre ville,Volkswagen,Excellent,2016,WW au Maroc
Land Rover evoque restylée,270000.0,"Voitures d occasion, à vendre",5.0,95 000 - 99 999,Oui,Hay Laymouna,Land Rover,Excellent,2017,WW au Maroc
Mercedes 190 nouveaux,43000.0,"Voitures d occasion, à vendre",5.0,250 000 - 299 999,Non,Autre secteur,Mercedes-Benz,Très bon,1991,Dédouanée
BMW e60 2004,67000.0,"Voitures d occasion, à vendre",5.0,200 000 - 249 999,Nan,Moujahidine,BMW,Très bon,2004,WW au Maroc
Fiat uno Diesel 1996,27000.0,"Voitures d occasion, à vendre",5.0,10 000 - 14 999,Non,Aïn Sebaâ,Fiat,Bon,1996,WW au Maroc
hyundai ix35,117000.0,"Voitures d occasion, à vendre",5.0,120 000 - 129 999,Non,Nan,Hyundai,Bon,2010,WW au Maroc
Mégane 3 GT ligne,135000.0,"Voitures d occasion, à vendre",5.0,150 000 - 159 999,Non,Nan,Renault,Excellent,2016,WW au Maroc
Renault clio Diesel 2019,164429.89045383412,"Voitures d occasion, à vendre",5.0,90 000 - 94 999,Nan,Autre secteur,Renault,Excellent,2019,Nan
kuga full option w jdida,161000.0,"Voitures d occasion, à vendre",5.0,100 000 - 109 999,Oui,Nan,Ford,Excellent,2016,WW au Maroc
Dacia,90000.0,"Voitures d occasion, à vendre",5.0,120 000 - 129 999,Nan,Nan,Dacia,Excellent,2017,WW au Maroc
tepee,164429.89045383412,"Voitures d occasion, à vendre",5.0,20 000 - 24 999,Oui,Nan,Citroen,Excellent,2013,WW au Maroc
jazz automatique,57000.0,"Voitures d occasion, à vendre",5.0,200 000 - 249 999,Non,Nan,Honda,Très bon,2005,WW au Maroc
Seat leon linea r 177cv édition limitée,209000.0,"Voitures d occasion, à vendre",5.0,150 000 - 159 999,Oui,Nan,Seat,Excellent,2018,WW au Maroc
megane sedan,190000.0,"Voitures d occasion, à vendre",5.0,90 000 - 94 999,Oui,Nan,Renault,Excellent,2018,WW au Maroc
Renault,32000.0,"Voitures d occasion, à vendre",5.0,100 000 - 109 999,Non,Nan,Renault,Bon,1992,WW au Maroc
PEUGEOT 3008 2.0 HDI ALLURE BVA 5.000KM TTOPTIONS,329000.0,"Voitures d occasion, à vendre",5.0,0 - 4 999,Oui,Souani,Peugeot,Excellent,2021,WW au Maroc
Caddy très Bonne état,200000.0,"Voitures d occasion, à vendre",5.0,95 000 - 99 999,Oui,Nan,Volkswagen,Excellent,2018,WW au Maroc
Audi a5 Diesel 2016,225000.0,"Voitures d occasion, à vendre",5.0,150 000 - 159 999,Non,Agdal,Audi,Très bon,2016,WW au Maroc
megane sedan,190000.0,"Voitures d occasion, à vendre",5.0,90 000 - 94 999,Oui,Nan,Renault,Excellent,2018,WW au Maroc
Renault,32000.0,"Voitures d occasion, à vendre",5.0,100 000 - 109 999,Non,Nan,Renault,Bon,1992,WW au Maroc
PEUGEOT 3008 2.0 HDI ALLURE BVA 5.000KM TTOPTIONS,329000.0,"Voitures d occasion, à vendre",5.0,0 - 4 999,Oui,Souani,Peugeot,Excellent,2021,WW au Maroc
Caddy très Bonne état,200000.0,"Voitures d occasion, à vendre",5.0,95 000 - 99 999,Oui,Nan,Volkswagen,Excellent,2018,WW au Maroc
Audi a5 Diesel 2016,225000.0,"Voitures d occasion, à vendre",5.0,150 000 - 159 999,Non,Agdal,Audi,Très bon,2016,WW au Maroc
SUZUKI GRAND VITARE 2001 DIESEL,164429.89045383412,"Voitures d occasion, à vendre",5.0,200 000 - 249 999,Nan,Nan,Suzuki,Très bon,2001,WW au Maroc
Honda civic Essence 2006,65000.0,"Voitures d occasion, à vendre",5.0,200 000 - 249 999,Non,Hermitage,Honda,Bon,2006,WW au Maroc
chevrolet captiva diesel auto,164429.89045383412,"Voitures d occasion, à vendre",5.0,130 000 - 139 999,Nan,Nan,Chevrolet,Excellent,2016,Nan
3008 GT Line,345000.0,"Voitures d occasion, à vendre",5.0,15 000 - 19 999,Oui,Californie,Peugeot,Excellent,2021,WW au Maroc
Range rover evoque Diesel 2015 T.B.Etat,260000.0,"Voitures d occasion, à vendre",5.0,70 000 - 74 999,Non,Hamria,Land Rover,Excellent,2015,Nan
Ford Fiesta diesel,85000.0,"Voitures d occasion, à vendre",5.0,160 000 - 169 999,Non,Nan,Ford,Bon,2012,WW au Maroc
Dacia Logan diesel,68000.0,"Voitures d occasion, à vendre",5.0,200 000 - 249 999,Non,Autre secteur,Dacia,Excellent,2012,WW au Maroc
Peugeot 308 Allure,135000.0,"Voitures d occasion, à vendre",5.0,120 000 - 129 999,Nan,Oasis,Peugeot,Excellent,2015,Nan
Renault,62000.0,"Voitures d occasion, à vendre",5.0,20 000 - 24 999,Non,Nan,Renault,Très bon,2007,WW au Maroc
Dacia duster Diesel 2011,95000.0,"Voitures d occasion, à vendre",5.0,150 000 - 159 999,Nan,Massira,Dacia,Excellent,2011,Nan
Nissan juke Diesel 2012,130000.0,"Voitures d occasion, à vendre",5.0,95 000 - 99 999,Oui,Hay Salam,Nissan,Excellent,2012,WW au Maroc
Mercedes-Benz Classe E63 amg,164429.89045383412,"Voitures d occasion, à vendre",5.0,5 000 - 9 999,Oui,Oulfa,Mercedes-Benz,Excellent,2022,Importée neuve
Dacia dokker Diesel 2020,164429.89045383412,"Voitures d occasion, à vendre",5.0,40 000 - 44 999,Oui,Toute la ville,Dacia,Excellent,2020,WW au Maroc
Mercedes,37000.0,"Voitures d occasion, à vendre",5.0,10 000 - 14 999,Nan,Nan,Mercedes-Benz,Bon,1986,Nan
Dacia Sandero 2010,49000.0,"Voitures d occasion, à vendre",5.0,190 000 - 199 999,Non,Nan,Dacia,Excellent,2010,WW au Maroc
golf 6,164429.89045383412,"Voitures d occasion, à vendre",5.0,250 000 - 299 999,Nan,Nan,Volkswagen,Très bon,2011,Nan
DERKAOUI AUTO - Peugeot 308 EVO 40.000KM,177000.0,"Voitures d occasion, à vendre",5.0,40 000 - 44 999,Oui,Val Fleuri,Peugeot,Excellent,2019,WW au Maroc
DERKAOUI AUTO - Passat Dédouané 2022,298000.0,"Voitures d occasion, à vendre",5.0,160 000 - 169 999,Oui,Val Fleuri,Volkswagen,Excellent,2017,Dédouanée
Derkaoui Auto - Toyota Prado 3.0 D4D BVM,215000.0,"Voitures d occasion, à vendre",5.0,100 000 - 109 999,Non,Val Fleuri,Toyota,Excellent,2017,WW au Maroc
DERKAOUI AUTO - Peugeot Rifter Allure,188000.0,"Voitures d occasion, à vendre",5.0,40 000 - 44 999,Oui,Val Fleuri,Peugeot,Excellent,2020,WW au Maroc
suzuki alto,36000.0,"Voitures d occasion, à vendre",5.0,150 000 - 159 999,Non,Nan,Suzuki,Très bon,2009,WW au Maroc
Hyundai Tucson,235000.0,"Voitures d occasion, à vendre",5.0,70 000 - 74 999,Oui,Toute la ville,Hyundai,Bon,2020,WW au Maroc
Jaguar XF 06/2017,164429.89045383412,"Voitures d occasion, à vendre",5.0,150 000 - 159 999,Non,Autre secteur,Jaguar,Excellent,2017,WW au Maroc
Nissan Qashqai,188000.0,"Voitures d occasion, à vendre",5.0,100 000 - 109 999,Oui,Hamria,Nissan,Excellent,2018,WW au Maroc
Renault,164429.89045383412,"Voitures d occasion, à vendre",5.0,10 000 - 14 999,Non,Nan,Renault,Bon,1987,Dédouanée
Audi A3 Diesel Sportback 200,164429.89045383412,"Voitures d occasion, à vendre",5.0,0 - 4 999,Oui,Hay El Qods,Audi,Excellent,2022,Importée neuve
Dacia duster Diesel 2016,125000.0,"Voitures d occasion, à vendre",5.0,160 000 - 169 999,Oui,Centre Ville,Dacia,Excellent,2016,WW au Maroc
Toyota Yaris,164429.89045383412,"Voitures d occasion, à vendre",5.0,95 000 - 99 999,Oui,Centre ville,Toyota,Très bon,2018,WW au Maroc
Peugeot 407 Diesel 2005,164429.89045383412,"Voitures d occasion, à vendre",5.0,200 000 - 249 999,Oui,Centre ville,Peugeot,Très bon,2005,WW au Maroc
seat ibiza,164429.89045383412,"Voitures d occasion, à vendre",5.0,150 000 - 159 999,Non,Centre ville,Seat,Très bon,2015,WW au Maroc
Hyundai Tucson,235000.0,"Voitures d occasion, à vendre",5.0,70 000 - 74 999,Oui,Toute la ville,Hyundai,Bon,2020,WW au Maroc
Jaguar XF 06/2017,164429.89045383412,"Voitures d occasion, à vendre",5.0,150 000 - 159 999,Non,Autre secteur,Jaguar,Excellent,2017,WW au Maroc
Nissan Qashqai,188000.0,"Voitures d occasion, à vendre",5.0,100 000 - 109 999,Oui,Hamria,Nissan,Excellent,2018,WW au Maroc
Renault,164429.89045383412,"Voitures d occasion, à vendre",5.0,10 000 - 14 999,Non,Nan,Renault,Bon,1987,Dédouanée
Audi A3 Diesel Sportback 200,164429.89045383412,"Voitures d occasion, à vendre",5.0,0 - 4 999,Oui,Hay El Qods,Audi,Excellent,2022,Importée neuve
Dacia duster Diesel 2016,125000.0,"Voitures d occasion, à vendre",5.0,160 000 - 169 999,Oui,Centre Ville,Dacia,Excellent,2016,WW au Maroc
Toyota Yaris,164429.89045383412,"Voitures d occasion, à vendre",5.0,95 000 - 99 999,Oui,Centre ville,Toyota,Très bon,2018,WW au Maroc
Peugeot 407 Diesel 2005,164429.89045383412,"Voitures d occasion, à vendre",5.0,200 000 - 249 999,Oui,Centre ville,Peugeot,Très bon,2005,WW au Maroc
seat ibiza,164429.89045383412,"Voitures d occasion, à vendre",5.0,150 000 - 159 999,Non,Centre ville,Seat,Très bon,2015,WW au Maroc
BMW,164429.89045383412,"Voitures d occasion, à vendre",5.0,190 000 - 199 999,Non,Nan,BMW,Très bon,2012,WW au Maroc
Opel Astra,175000.0,"Voitures d occasion, à vendre",5.0,100 000 - 109 999,Oui,Nan,Opel,Très bon,2018,WW au Maroc
Infiniti fx35 Essence,48000.0,"Voitures d occasion, à vendre",5.0,130 000 - 139 999,Non,Anfa,Infiniti,Excellent,2005,Dédouanée
audi q5,164429.89045383412,"Voitures d occasion, à vendre",5.0,200 000 - 249 999,Non,Nan,Audi,Bon,2016,Dédouanée
Renault megane 3 Diesel 2011,101000.0,"Voitures d occasion, à vendre",5.0,120 000 - 129 999,Non,Hay Lazaret,Renault,Très bon,2011,Dédouanée
Kia sportage Diesel 2015,153000.0,"Voitures d occasion, à vendre",5.0,110 000 - 119 999,Non,Guéliz,Kia,Excellent,2015,WW au Maroc
Volkswagen golfplus Diesel 2017,340000.0,"Voitures d occasion, à vendre",5.0,10 000 - 14 999,Oui,Autre secteur,Volkswagen,Excellent,2017,Dédouanée
Passat cc,164429.89045383412,"Voitures d occasion, à vendre",5.0,200 000 - 249 999,Non,Nan,Volkswagen,Très bon,2013,WW au Maroc
Dacia dokker,112000.0,"Voitures d occasion, à vendre",5.0,150 000 - 159 999,Oui,Nan,Dacia,Très bon,2017,WW au Maroc
Golf 7 tdi,198000.0,"Voitures d occasion, à vendre",5.0,65 000 - 69 999,Oui,Hay Riad,Volkswagen,Excellent,2018,WW au Maroc
Citroen,164429.89045383412,"Voitures d occasion, à vendre",5.0,10 000 - 14 999,Nan,Nan,Citroen,Bon,2006,Nan
Renault kadjar,164429.89045383412,"Voitures d occasion, à vendre",5.0,110 000 - 119 999,Non,Toute la ville,Renault,Excellent,2019,WW au Maroc
AUDI A5 SportBack 35 TDI 163 S-Tronic 2018,340000.0,"Voitures d occasion, à vendre",5.0,70 000 - 74 999,Oui,Nan,Audi,Excellent,2018,WW au Maroc
Fiat,41000.0,"Voitures d occasion, à vendre",5.0,40 000 - 44 999,Nan,Nan,Fiat,Excellent,2003,Nan
golf polo 6R,84500.0,"Voitures d occasion, à vendre",5.0,200 000 - 249 999,Non,Nan,Volkswagen,Très bon,2012,WW au Maroc
moto,67000.0,"Voitures d occasion, à vendre",5.0,35 000 - 39 999,Oui,Nan,Dacia,Très bon,2013,WW au Maroc
vente voiture,45000.0,"Voitures d occasion, à vendre",5.0,190 000 - 199 999,Nan,Nan,Peugeot,Excellent,2008,Nan
Renault talisman INTENS BVA Diesel 12 2018,239000.0,"Voitures d occasion, à vendre",5.0,50 000 - 54 999,Nan,Lissasfa,Renault,Excellent,2018,Nan
Volvo XC40 Essence 2021,164429.89045383412,"Voitures d occasion, à vendre",5.0,20 000 - 24 999,Oui,Maarif,Volvo,Excellent,2021,WW au Maroc
Audi Q5 S-line,360000.0,"Voitures d occasion, à vendre",5.0,100 000 - 109 999,Oui,Sidi Othmane,Audi,Excellent,2018,WW au Maroc
Volkswagen touran,163000.0,"Voitures d occasion, à vendre",5.0,200 000 - 249 999,Nan,Mimosas,Volkswagen,Excellent,2019,Dédouanée
HYUNDAI TUCSON,164429.89045383412,"Voitures d occasion, à vendre",5.0,170 000 - 179 999,Oui,Massira 1,Hyundai,Très bon,2018,WW au Maroc
Audi SQ8 4.0 V8 BiTDI 435ch quattro,164429.89045383412,"Voitures d occasion, à vendre",5.0,50 000 - 54 999,Oui,Alsace Lorraine,Audi,Excellent,2020,Importée neuve
Ronge sport dynamique,164429.89045383412,"Voitures d occasion, à vendre",5.0,130 000 - 139 999,Oui,Hay Laymouna,Land Rover,Excellent,2014,WW au Maroc
Range Rover Vogue Pack Facelift,164429.89045383412,"Voitures d occasion, à vendre",5.0,140 000 - 149 999,Nan,Hivernage,Land Rover,Très bon,2014,Nan
Land Rover range rover evoque Diesel 2018,164429.89045383412,"Voitures d occasion, à vendre",5.0,75 000 - 79 999,Oui,Autre secteur,Land Rover,Excellent,2018,WW au Maroc
Audi SQ V8 Diesel 2017,164429.89045383412,"Voitures d occasion, à vendre",5.0,110 000 - 119 999,Oui,Anfa,Audi,Excellent,2017,Importée neuve
Ford B-Max Essence 1996,15000.0,"Voitures d occasion, à vendre",3.0,20 000 - 24 999,Non,Toute la ville,Ford,Bon,1996,Dédouanée
Volkswagen Golf 7 ded,164429.89045383412,"Voitures d occasion, à vendre",5.0,190 000 - 199 999,Oui,Toute la ville,Volkswagen,Excellent,2017,Dédouanée
seat leon fr,200000.0,"Voitures d occasion, à vendre",5.0,170 000 - 179 999,Non,Nan,Seat,Très bon,2017,Dédouanée
Golf 5 gt,95000.0,"Voitures d occasion, à vendre",5.0,250 000 - 299 999,Non,Medina,Volkswagen,Excellent,2006,Dédouanée
FORD KUGA 2.0 TDCI iTECH 80.000KM TOUTES OPTIONS,197000.0,"Voitures d occasion, à vendre",5.0,80 000 - 84 999,Non,Nan,Ford,Excellent,2018,WW au Maroc
RENAULT TALISMAN INTENSE,214000.0,"Voitures d occasion, à vendre",5.0,70 000 - 74 999,Oui,Nan,Renault,Excellent,2017,WW au Maroc
Mercedes E 220,164429.89045383412,"Voitures d occasion, à vendre",5.0,20 000 - 24 999,Oui,Californie,Mercedes-Benz,Excellent,2021,Importée neuve
Citroën c3,97000.0,"Voitures d occasion, à vendre",5.0,130 000 - 139 999,Oui,Ville Nouvelle,Citroen,Excellent,2015,Dédouanée
peugoet 3008,137000.0,"Voitures d occasion, à vendre",5.0,160 000 - 169 999,Non,Ville Nouvelle,Peugeot,Excellent,2016,WW au Maroc
FIAT DOBLO,164429.89045383412,"Voitures d occasion, à vendre",5.0,85 000 - 89 999,Nan,Val Fleuri,Fiat,Excellent,2017,Nan
Alfa Romeo 159 2.4 JTDm,49000.0,"Voitures d occasion, à vendre",5.0,190 000 - 199 999,Non,Belvédère,Alfa Romeo,Endommagé,2007,WW au Maroc
Mercedes Benz kawkawa 220,73000.0,"Voitures d occasion, à vendre",5.0,200 000 - 249 999,Nan,Ben M sick,Mercedes-Benz,Excellent,2001,Nan
hyundai Elantra,164429.89045383412,"Voitures d occasion, à vendre",5.0,80 000 - 84 999,Oui,Californie,Hyundai,Excellent,2016,WW au Maroc
peugoet tepee,105000.0,"Voitures d occasion, à vendre",5.0,150 000 - 159 999,Non,Ville Nouvelle,Peugeot,Excellent,2015,WW au Maroc
BMW 730 ld pack M,164429.89045383412,"Voitures d occasion, à vendre",5.0,0 - 4 999,Oui,Maarif,BMW,Excellent,2020,WW au Maroc
kia sportage,169000.0,"Voitures d occasion, à vendre",5.0,180 000 - 189 999,Oui,Ville Nouvelle,Kia,Excellent,2016,WW au Maroc
Mercedes-Benz C220,164429.89045383412,"Voitures d occasion, à vendre",5.0,100 000 - 109 999,Oui,Autre secteur,Mercedes-Benz,Excellent,2015,Dédouanée
Ford fiesta trend plus,98000.0,"Voitures d occasion, à vendre",5.0,120 000 - 129 999,Non,Ville Nouvelle,Ford,Excellent,2015,WW au Maroc
mitsubishi L200,119000.0,"Voitures d occasion, à vendre",5.0,300 000 - 349 999,Non,Autre secteur,Mitsubishi,Excellent,2013,Dédouanée
Citroën nemo,103000.0,"Voitures d occasion, à vendre",5.0,250 000 - 299 999,Oui,Ville Nouvelle,Volkswagen,Excellent,2008,Dédouanée
Dacia Dokker,164429.89045383412,"Voitures d occasion, à vendre",5.0,120 000 - 129 999,Non,Autre secteur,Dacia,Excellent,2018,WW au Maroc
kia sportage,169000.0,"Voitures d occasion, à vendre",5.0,180 000 - 189 999,Oui,Ville Nouvelle,Kia,Excellent,2016,WW au Maroc
Mercedes-Benz C220,164429.89045383412,"Voitures d occasion, à vendre",5.0,100 000 - 109 999,Oui,Autre secteur,Mercedes-Benz,Excellent,2015,Dédouanée
Ford fiesta trend plus,98000.0,"Voitures d occasion, à vendre",5.0,120 000 - 129 999,Non,Ville Nouvelle,Ford,Excellent,2015,WW au Maroc
mitsubishi L200,119000.0,"Voitures d occasion, à vendre",5.0,300 000 - 349 999,Non,Autre secteur,Mitsubishi,Excellent,2013,Dédouanée
Citroën nemo,103000.0,"Voitures d occasion, à vendre",5.0,250 000 - 299 999,Oui,Ville Nouvelle,Volkswagen,Excellent,2008,Dédouanée
Dacia Dokker,164429.89045383412,"Voitures d occasion, à vendre",5.0,120 000 - 129 999,Non,Autre secteur,Dacia,Excellent,2018,WW au Maroc
Volkswagen tiguan BVA,169000.0,"Voitures d occasion, à vendre",5.0,200 000 - 249 999,Oui,Autre secteur,Volkswagen,Excellent,2012,Dédouanée
Ford mondeo Essence 2011,64000.0,"Voitures d occasion, à vendre",5.0,150 000 - 159 999,Non,Yacoub El Mansour,Ford,Excellent,2011,WW au Maroc
fiesta,75000.0,"Voitures d occasion, à vendre",5.0,95 000 - 99 999,Nan,Nan,Ford,Excellent,2009,Nan
Bmw 318d boite automatique,125000.0,"Voitures d occasion, à vendre",5.0,200 000 - 249 999,Non,Nan,BMW,Très bon,2010,WW au Maroc
Scénic mod fin 2005,67000.0,"Voitures d occasion, à vendre",5.0,130 000 - 139 999,Nan,Nan,Renault,Très bon,2005,WW au Maroc
Golf5,95000.0,"Voitures d occasion, à vendre",5.0,200 000 - 249 999,Oui,Nan,Volkswagen,Excellent,2006,Dédouanée
Peugeot 106 essence,22000.0,"Voitures d occasion, à vendre",5.0,180 000 - 189 999,Non,Nan,Peugeot,Bon,1993,WW au Maroc
Toyota Hilux,164429.89045383412,"Voitures d occasion, à vendre",3.0,20 000 - 24 999,Oui,Nan,Toyota,Bon,2021,WW au Maroc
Audi A3 SLine,115000.0,"Voitures d occasion, à vendre",5.0,250 000 - 299 999,Nan,Riad Salam,Audi,Excellent,2006,Importée neuve
Peugeot Partner,53000.0,"Voitures d occasion, à vendre",5.0,180 000 - 189 999,Oui,Guich Oudaya,Peugeot,Très bon,2007,WW au Maroc
Audi q2 Diesel 2018,164429.89045383412,"Voitures d occasion, à vendre",5.0,110 000 - 119 999,Oui,Centre,Audi,Excellent,2018,WW au Maroc
kangoo n9iya,164429.89045383412,"Voitures d occasion, à vendre",5.0,200 000 - 249 999,Nan,Nan,Renault,Excellent,2012,Importée neuve
FORD Mustang EcoBoost coupé cabriolet,370000.0,"Voitures d occasion, à vendre",3.0,30 000 - 34 999,Oui,Hay Hassani,Ford,Excellent,2017,Dédouanée
Land rover autobiographie importe neuve,590000.0,"Voitures d occasion, à vendre",5.0,110 000 - 119 999,Oui,Oulfa,Land Rover,Excellent,2017,Importée neuve
Peugeot,3200.0,"Voitures d occasion, à vendre",5.0,20 000 - 24 999,Nan,Nan,Peugeot,Bon,1998,Nan
Mercedes-Benz C 220 d AMG Line (Importée neuve),164429.89045383412,"Voitures d occasion, à vendre",5.0,0 - 4 999,Nan,Anfa,Mercedes-Benz,Excellent,2022,Importée neuve
AUDI A3 Sportback S-Line 40 TDI (importée neuve),164429.89045383412,"Voitures d occasion, à vendre",5.0,0 - 4 999,Nan,Anfa,Audi,Excellent,2022,Importée neuve
Audi A4 Avant BVA ded20,195000.0,"Voitures d occasion, à vendre",5.0,120 000 - 129 999,Non,Nan,Audi,Excellent,2014,Dédouanée
polo 5,61000.0,"Voitures d occasion, à vendre",5.0,130 000 - 139 999,Non,Nan,Volkswagen,Très bon,2008,WW au Maroc
Peugoet,164429.89045383412,"Voitures d occasion, à vendre",5.0,120 000 - 129 999,Oui,Hay Nejma,Chrysler,Correct,2009,WW au Maroc
207,70000.0,"Voitures d occasion, à vendre",5.0,200 000 - 249 999,Non,Nan,Peugeot,Bon,2007,WW au Maroc
Hyundai Elantra Automatique,143000.0,"Voitures d occasion, à vendre",5.0,170 000 - 179 999,Non,Nan,Hyundai,Excellent,2016,WW au Maroc
voiture,150000.0,"Voitures d occasion, à vendre",5.0,60 000 - 64 999,Oui,Massira,Dacia,Excellent,2019,WW au Maroc
Honda en très bonne état,84000.0,"Voitures d occasion, à vendre",5.0,200 000 - 249 999,Non,Nan,Honda,Très bon,2008,WW au Maroc
Polo R line,265000.0,"Voitures d occasion, à vendre",5.0,75 000 - 79 999,Oui,Branes 2,Volkswagen,Excellent,2019,Importée neuve
Ford fusion Diesel 2017,200000.0,"Voitures d occasion, à vendre",5.0,70 000 - 74 999,Oui,Aïn Sebaâ,Ford,Très bon,2017,WW au Maroc
Yaris en excellent état,110000.0,"Voitures d occasion, à vendre",5.0,50 000 - 54 999,Oui,Nan,Toyota,Excellent,2018,Nan
fiat mliha,55000.0,"Voitures d occasion, à vendre",5.0,350 000 - 399 999,Non,Nan,Fiat,Très bon,2010,WW au Maroc
Audi A4 Avant BVA ded20,195000.0,"Voitures d occasion, à vendre",5.0,120 000 - 129 999,Non,Nan,Audi,Excellent,2014,Dédouanée
polo 5,61000.0,"Voitures d occasion, à vendre",5.0,130 000 - 139 999,Non,Nan,Volkswagen,Très bon,2008,WW au Maroc
